szemaz	nev
1400	Rubik Ernő
1033	Rudas László
1034	Rudnai József
1035	Rudnay Gyula
1036	Rufli Lajos
1037	Rusznák István
1038	Rusznyák István
1039	Ruszt József
1040	Ruttkai Éva
1044	Sági József
1045	Sági Lajos
1046	Sályi Gyula
1047	Sályi István
1048	Sándor Iván
1049	Sándor Judit
1050	Sándor Kálmán
1051	Sánta Ferenc
1052	Sántha Kálmán
1053	Sára Sándor
1054	Sárai Tibor
1055	Sárdy Lóránt
1041	Sarkadi Imre
1042	Sárközy György
1043	Sassy István
1056	Sávoly Pál
1057	Schäffer Judit
1058	Schandl József
1059	Schay Géza
1060	Schéner Mihály
1061	Schiff András
1062	Schimanek Emil
1063	Schinagl Ferenc
1064	Schlattner Jenő
1065	Schmidt Eligius Róbert
1066	Schnitzler József
1067	Schöpflin Aladár
1068	Schrammel Imre
1069	Schulek Elemér
1070	Sebestyén Gyula
1071	Sebestyén Gyula
1072	Sebestyén János
1073	Sebestyén Márta
1074	Sedlmayer Kurt
1075	Seidner Mihály
1076	Selényi Pál
1077	Seregi László
1088	Sík Ferenc
1089	Sík Sándor
1078	Simándy József
1079	Simányi H. László
1080	Simon Bálint
1081	Simon István
1082	Simon Zsuzsa
1083	Simonyi Károly
1084	Sinka István
1085	Sinkó László
1086	Sinkovits Imre
1087	Sipos Mihály
1090	Solti Bertalan
1091	Solti Gizella
1102	Sólyom-Nagy Sándor
1092	Somlay Artúr
1093	Somló István
1094	Somlyó György
1095	Somogyi Erzsi
1096	Somogyi Imre
1097	Somogyi József
1098	Somogyi László
1099	Somos András
1100	Soó Rezső
1101	Soproni József
1103	Sós József
1105	Sőtér István
1104	Sövegjártó János
1106	Spiró György
1107	Spisák István
1108	Stezserán László
1109	Straub F. Brunó
1110	Strausz László
1111	Strém Ferenc
1112	Sudár Ferenc
1113	Sugár Rezső
1114	Sulyok Mária
1115	Surányi János
1116	Suszter Irén
1117	Sütő András
1118	Süveges Dániel
1119	Sváby Lajos
1120	Svéd Sándor
1121	Szabó Dénes
1122	Szabó Etelka
1123	Szabó Ferenc
1124	Szabó Gyula
1125	Szabó Imre
1127	Szabó István
1128	Szabó István
1129	Szabó István
1130	Szabó János
1131	Szabó Lőrinc
1132	Szabó Magda
1133	Szabó Miklós
1126	Szabó P. Imre
1134	Szabó Pál
1135	Szabó Samu
1136	Szabó Sándor
1137	Szabó Zoltán
1138	Szabó Zoltán Gábor
1139	Szabolcsi Bence
1151	Szádeczky-Kardoss Elemér
1140	Szakács Györgyi
1141	Szakál Pál
1142	Szakály György
1143	Szakály Márta
1144	Szakcsi Lakatos Béla
1145	Szakkay Antal
1146	Szakonyi Károly
1147	Szalay Lajos
1148	Szalay Sándor
1149	Szamos István
1150	Szandi Józsefné
1152	Szántai István
1153	Szántó Piroska
1154	Szántó Tibor
1155	Száraz György
1156	Szávai Nándor
1177	Széchy Károly
1178	Szécsényi Ferenc
1157	Szegő Miklós
1158	Székely Gábor
1179	Székely Lajos
1180	Székely Magda
1181	Székely Mihály
1159	Szele Tibor
1160	Szemán István
1161	Szemere Gyula
1162	Szemes Mari
1163	Szende Béla
1164	Szendrői Jenő
1165	Szendy Károly
1166	Szentágothai János
1167	Szent-Györgyi Albert
1168	Szentgyörgyi Kornél
1169	Szentgyörgyvári Lajos
1422	Szenthelyi Miklós
1170	Szentiványi Lajos
1171	Szentkuthy Miklós
1172	Szentmártony Aladár
1173	Szentmiklósi Péter
1174	Szentpéteri László
1182	Szép Iván
1175	Szervánszky Endre
1176	Szervátiusz Tibor
1183	Szigeth László
1184	Szigeti György
1185	Szíjártó Lajos
1186	Szilágyi Dezső
1187	Szilágyi István
1188	Szilágyi János György
1189	Szilágyi Sándorné
1402	Szilágyi Tibor
1190	Szinetár Miklós
1191	Szirtes Ádám
1423	Szirtes Ági
1192	Szita Flórián
1193	Szladits Károly
1194	Szodorai István
1195	Szokolay Sándor
1196	Szomjas György
1197	Szondi Józsefné
